mask               n   m=0  |m|>=1 roles
----------------------------------------------------------------
prop              44    20      24 aux=16 depth_anchor=4 lateral=16 swa=8
decoupling        28    20       8 depth_anchor=4 lateral=16 swa=8
m0_all            20    20       0 depth_anchor=4 lateral=16
only90            12     4       8 depth_anchor=4 swa=8
no90              32    16      16 aux=16 lateral=16
near90            20     8      12 aux=4 depth_anchor=4 lateral=4 swa=8
far               16     8       8 aux=8 lateral=8
mid               16     8       8 aux=8 lateral=8
two_cam           36    16      20 aux=12 depth_anchor=4 lateral=12 swa=8
drop_phi45        36    16      20 aux=12 depth_anchor=4 lateral=12 swa=8
